region;motorways;ports;energy;agric
North East England;1080000000.00;17494388777.00;2254622030.00;393698856.20
North West England;12240000000.00;46211913158.00;6196305435.00;654459480.30
Yorkshire and the Humber;8310000000.00;51902854958.00;4647867214.00;738870841.20
East Midlands;3720000000.00;478920570.00;4092137433.00;738926048.10
West Midlands;8310000000.00;0.00;5014205457.00;578280082.80
East of England;4950000000.00;48920214122.00;5272599070.00;866233175.60
London;1110000000.00;46618459373.00;7571429391.00;7784173.89
South East England;12300000000.00;237864027008.00;7752064888.00;720204772.50
South West England;6120000000.00;14733096604.00;4759551097.00;1136863568.00
Wales;2640000000.00;55032564903.00;5746071907.00;1068106432.00
Scotland;8850000000.00;54190549914.00;10036510242.00;3671161171.00
Northern Ireland;2100000000.00;52812126611.00;1885844698.00;647411398.50
