region;pop;area;pop_dens;wage;gdp;b_i;sim_wage;prod
North East England;2680763;8592;312.0068669;575.2;61951000000;0.048760696;609.9410465;98.4
North West England;7367455;14165;520.1168373;602.3;2.08183E+11;0.171130582;617.4121945;103.2
Yorkshire and the Humber;5526350;15420;358.3884565;579.1;1.42008E+11;0.302493248;611.6061456;96.7
East Midlands;4865583;15627;311.3574582;594.1;1.26289E+11;0.025893088;609.9177328;98.6
West Midlands;5961929;12998;458.6804893;617.5;1.56685E+11;0.031038405;615.2066296;99.1
East of England;6269161;19120;327.8849895;632.4;1.8291E+11;0.131744027;610.5110711;105.7
London;9002488;1569;5737.723391;804.9;5.03904E+11;0.098134204;804.7242697;153.1
South East England;9217265;19095;482.7056821;664.3;3.18142E+11;0.621850154;616.069134;124.4
South West England;5659143;23800;237.7791176;611.3;1.58524E+11;0.069112561;607.2762703;100.9
Wales;3169586;20779;152.537947;598.1;75695000000;0.154399973;604.2161123;95.6
Scotland;5466000;77933;70.13716911;640.5;1.61954E+11;0.195680659;601.2579244;111.2
Northern Ireland;1895510;14130;134.1479122;591.6;48478000000;0.091455718;603.55591;94.8
